Date,PM2.5,PM10
04/20/21,20.05,43.0
04/20/22,7.295238095238095,19.357142857142858
04/20/23,14.185714285714285,33.857142857142854
04/21/14,36.5,47.5
04/21/15,14.23076923076923,27.5
04/21/16,8.25,48.0
04/21/17,14.216666666666667,38.833333333333336
04/21/21,12.799999999999999,25.333333333333332
04/21/22,5.933333333333334,11.0
04/21/23,19.75,47.0
04/22/14,25.333333333333332,38.333333333333336
04/22/15,14.5,30.0
04/22/16,11.0,31.0
04/22/21,9.625,18.166666666666668
04/22/22,6.833333333333333,9.0
04/23/14,18.75,37.25
04/23/15,11.6,23.375
04/23/18,21.58125,58.375
04/23/21,11.74375,20.75
04/23/24,5.583333333333333,9.333333333333334
04/24/14,22.5,39.25
04/24/15,7.8125,11.125
04/24/17,12.366666666666667,36.333333333333336
04/24/18,26.44375,52.375
04/24/23,13.524999999999999,25.25
04/24/24,7.616666666666666,20.583333333333332
04/25/14,19.666666666666668,37.666666666666664
04/25/16,23.0,45.0
04/25/17,11.025,28.75
04/25/18,23.6125,49.625
04/25/22,13.033333333333331,25.5
04/25/23,13.719999999999999,25.6
04/25/24,5.84375,14.5625
04/26/16,8.666666666666666,21.25
04/26/17,10.375,30.0
04/26/18,20.13125,37.125
04/26/21,6.41875,11.125
04/26/23,16.31,32.3
04/26/24,6.90625,19.0
04/27/15,15.375,29.5
04/27/16,13.2,41.0
04/27/17,10.975,25.5
04/27/18,16.15,35.125
04/27/21,7.4375,16.875
04/27/23,25.525,28.5
04/28/14,13.285714285714286,24.714285714285715
04/28/15,13.5,37.375
04/28/16,12.428571428571429,47.333333333333336
04/28/17,10.625,42.75
04/28/20,18.0,52.0
04/28/21,13.50625,29.875
04/28/22,19.2,37.5
04/28/23,23.45,28.0
04/29/14,24.75,45.0
04/29/15,15.0,35.0
04/29/16,9.1875,31.25
04/29/20,14.521428571428572,31.0
04/29/21,14.383333333333333,44.666666666666664
04/29/22,16.53333333333333,33.0
04/29/24,11.63125,23.5625
04/30/14,11.0,31.0
04/30/15,21.6875,43.875
04/30/18,8.93125,29.875
04/30/19,8.25,22.0
04/30/21,20.233333333333334,47.333333333333336
04/30/24,10.858333333333334,23.083333333333332
05/01/14,18.0,50.5
05/01/15,18.8125,47.25
05/01/17,16.516666666666666,37.666666666666664
05/01/18,12.809999999999999,36.2
05/01/19,11.7,22.0
05/01/24,12.55,43.0
