School,Street Address,Street Zip,Latitude,Longitude
Flintridge Preparatory School,4543 Crown Ave.,91011-3637,34.198715,-118.183997
Flintridge Sacred Heart Academy,440 St. Katherine Dr.,91011-4113,34.179805,-118.18596
Foothill Progressive Montessori Schools,4526 Indianola Way,91011-3350,34.20114,-118.190294
Foothills (Special Education),4490 Cornishon Ave.,91011,34.205641,-118.203638
Hillside School and Learning Center,4331 Oak Grove Dr.,91011-3707,34.187841,-118.179276
Hogg's Hollow Kindergarten,"4490 Cornishon Ave.,",91011-3219,34.204429,-118.20306
La Canada Elementary,4540 Encinas Dr.,91011-2217,34.208698,-118.206082
La Canada High,4463 Oak Grove Dr.,91011-3738,34.18809,-118.179003
"Learning Castle, Inc. (aka La Canada Preparatory)",4490 Cornishon Ave.,91011,34.205159,-118.20324
Palm Crest Elementary,5025 Palm Dr.,91011-1518,34.223168,-118.217547
Paradise Canyon Elementary,471 Knight Way,91011-2725,34.208228,-118.187614
St. Bede the Venerable Elementary,4524 Crown Ave.,91011-3636,34.198068,-118.183377
St. Francis High School,200 Foothill Blvd.,91011-3700,34.19611,-118.182501
The Best Start Preparatory Academy,922 1/2 Sanborn Ave.,90027-3018,34.088645,-118.282732
Alice C. Stelle Middle,22450 Mulholland Hwy.,91302-5180,34.143277,-118.61471
Bay Laurel Elementary,24740 Paseo Primario,91302-3071,34.139218,-118.65174
Calabasas High,22855 West Mulholland Hwy.,91302-2047,34.138162,-118.623432
Chaparral Elementary,22601 Liberty Bell Rd.,91302-5701,34.141624,-118.619055
Round Meadow Elementary,5151 Round Meadow Rd.,91302-1161,34.153634,-118.665927
Viewpoint School,23620 Mulholland Hwy.,91302-2060,34.134934,-118.645026
Billy Mitchell Elementary,14429 Condon Ave.,90260-1308,33.900745,-118.359481
Carson School,3530 West 147th St.,90250-8518,33.898264,-118.333703
Environmental Charter High - Lawndale,16315 Grevillea Ave.,90260-2858,33.882553,-118.35488
F. D. Roosevelt Elementary,3533 West Marine Blvd.,90260-2400,33.895038,-118.334519
Jane Addams Middle,4535 West 153rd Pl.,90260-1957,33.891884,-118.35643
Kit Carson Elementary,3530 West 147th St.,90250,33.898255,-118.333651
Lucille J. Smith Elementary,4521 West 147th St.,90260-1324,33.898564,-118.355603
Mark Twain Elementary,3728 West 154th St.,90260-2464,33.890947,-118.33841
Will Rogers Middle,4110 West 154th St.,90260-1740,33.891026,-118.346256
William Anderson Elementary,4130 West 154th St.,90260-1740,33.890969,-118.346935
William Green Elementary,4520 West 168th St.,90260-3246,33.878436,-118.355387
Animo Leadership High,11044 South Freeman Ave.,90301-2902,33.934769,-118.347708
Buford Elementary,4919 West 109th St.,90304-2135,33.936705,-118.363881
Century Academy for Excellence,2400 West 85th St.,90305-1816,33.960794,-118.31956
Century Community Charter,901 South Maple St.,90301-3823,33.95222,-118.353789
Dolores Huerta Elementary,4125 West 105th St.,90304-2019,33.940973,-118.349596
Felton Elementary,10417 Felton Ave.,90304-1709,33.941622,-118.365802
Jefferson Elementary,10322 Condon Ave.,90304-1436,33.941015,-118.359078
"Lennox Mathematics, Science and Technology Academy",11036 Hawthorne Blvd.,90304-2316,33.93528,-118.352503
Lennox Middle,11033 Buford Ave.,90304-2126,33.935419,-118.363524
Lennox Virtual Academy,10319 Firmona Ave.,90304-1419,33.942838,-118.357749
Moffett Elementary,11050 Larch Ave.,90304-1419,33.935059,-118.350288
Addams Elementary,5320 Pine Ave.,90805-5930,33.852775,-118.191664
Alvarado Elementary,1900 East 21st St.,90755-5858,33.794544,-118.16822
Barton Elementary,1100 East Del Amo Blvd.,90807-1010,33.846748,-118.179589
Beach K-12 Independent Study,2153 W. Hill St.,90810-3400,33.797632,-118.218374
Birney Elementary,710 West Spring St.,90806-1413,33.811592,-118.200351
Bobbie Smith Elementary,565 East Hill St.,90806-4457,33.79718,-118.185764
Burbank Elementary,501 Junipero Ave.,90814-1031,33.772536,-118.164133
Burroughs Elementary,1260 East 33rd St.,90755-5229,33.817052,-118.175635
Cabrillo High,2001 Santa Fe Ave.,90810-4068,33.793514,-118.215599
California Academy of Mathematics and Science,"1000 East Victoria St., Bldg. SAC3 rm3117",90747-0001,33.867102,-118.25869
Chavez Elementary,730 West Third St.,90802-2745,33.770504,-118.182951
Clear Passage Educational Center,1471 Martin Luther King Jr. Ave.,90813-2162,33.784522,-118.180948
Colegio New City,1637 Long Beach Blvd.,90813,33.788153,-118.18948
Constellation Community Charter Middle,620 Olive Ave.,90802-1546,33.774752,-118.182331
Dooley Elementary,5075 Long Beach Blvd.,90805-6345,33.848192,-118.194417
Edison Elementary,625 Maine Ave.,90802-1143,33.773647,-118.20067
Education Readiness Today,610 Orange Ave Apt 5,90802-1772,33.774444,-118.176013
Educational Partnership High,1794 Cedar Ave.,90813-1770,33.788846,-118.194994
